species,locus,accession,seq_len,sci_name,ncbi_name,ncbi_taxid,outgroup
Abrodictyum_strictum,rbcL,AB257482,1206,Abrodictyum strictum (Menzies ex Hook. & Grev.) Ebihara & K. Iwats.,Abrodictyum strictum (Menzies ex Hook. & Grev.) Ebihara & K.Iwats.,381261,FALSE
Abrodictyum_tamarisciforme,rps4,AY095135,581,Abrodictyum tamarisciforme (Jacq.) Ebihara & Dubuisson,Abrodictyum tamarisciforme,194425,FALSE
Abrodictyum_tamarisciforme,rps4-trnS,AY095135,432,Abrodictyum tamarisciforme (Jacq.) Ebihara & Dubuisson,Abrodictyum tamarisciforme,194425,FALSE
Acrostichum_aureum,plastome,MT130571,66953,Acrostichum aureum L.,Acrostichum aureum L.,29594,FALSE
Acrostichum_danaeifolium,atpA,KM007556,1708,Acrostichum danaeifolium Langsd. & Fisch.,Acrostichum danaeifolium Langsd. & Fisch.,262948,FALSE
Acrostichum_danaeifolium,atpB,KM007673,1171,Acrostichum danaeifolium Langsd. & Fisch.,Acrostichum danaeifolium Langsd. & Fisch.,262948,FALSE
Acrostichum_danaeifolium,rbcL,KM008126,1253,Acrostichum danaeifolium Langsd. & Fisch.,Acrostichum danaeifolium Langsd. & Fisch.,262948,FALSE
Acrostichum_danaeifolium,rps4,KM007785,580,Acrostichum danaeifolium Langsd. & Fisch.,Acrostichum danaeifolium Langsd. & Fisch.,262948,FALSE
Acrostichum_danaeifolium,rps4-trnS,KM007785,256,Acrostichum danaeifolium Langsd. & Fisch.,Acrostichum danaeifolium Langsd. & Fisch.,262948,FALSE
Acrostichum_speciosum,plastome,MT026711,66988,Acrostichum speciosum Willd.,Acrostichum speciosum Willd.,366450,FALSE
Actiniopteris_australis,rbcL,JX144887,1170,Actiniopteris australis (L. fil.) Link,Actiniopteris australis (L.f.) Link,170705,FALSE
Actiniopteris_dimorpha,atpA,EF452066,1506,Actiniopteris dimorpha Pic. Serm.,Actiniopteris dimorpha Pic.Serm.,451079,FALSE
Actiniopteris_dimorpha,atpB,EF452009,1278,Actiniopteris dimorpha Pic. Serm.,Actiniopteris dimorpha Pic.Serm.,451079,FALSE
Actiniopteris_dimorpha,rbcL,EF452130,1308,Actiniopteris dimorpha Pic. Serm.,Actiniopteris dimorpha Pic.Serm.,451079,FALSE
Actiniopteris_dimorpha,rps4,KJ416352,575,Actiniopteris dimorpha Pic. Serm.,Actiniopteris dimorpha Pic.Serm.,451079,FALSE
Actiniopteris_dimorpha,rps4-trnS,KJ416352,534,Actiniopteris dimorpha Pic. Serm.,Actiniopteris dimorpha Pic.Serm.,451079,FALSE
Actiniopteris_dimorpha,trnL-trnF,KM008014,559,Actiniopteris dimorpha Pic. Serm.,Actiniopteris dimorpha Pic.Serm.,451079,FALSE
Actiniopteris_radiata,rbcL,AF336100,1325,Actiniopteris radiata (J. Koenig ex Sw.) Link,Actiniopteris radiata (Sw.) Link,164268,FALSE
Actiniopteris_semiflabellata,atpA,KM007557,1761,Actiniopteris semiflabellata Pic. Serm.,Actiniopteris semiflabellata Pic.Serm.,1224206,FALSE
Actiniopteris_semiflabellata,atpB,KM007674,1171,Actiniopteris semiflabellata Pic. Serm.,Actiniopteris semiflabellata Pic.Serm.,1224206,FALSE
Actiniopteris_semiflabellata,rbcL,KJ416326,1309,Actiniopteris semiflabellata Pic. Serm.,Actiniopteris semiflabellata Pic.Serm.,1224206,FALSE
Actiniopteris_semiflabellata,rps4,KJ416353,576,Actiniopteris semiflabellata Pic. Serm.,Actiniopteris semiflabellata Pic.Serm.,1224206,FALSE
Actiniopteris_semiflabellata,rps4-trnS,KJ416353,541,Actiniopteris semiflabellata Pic. Serm.,Actiniopteris semiflabellata Pic.Serm.,1224206,FALSE
Actiniopteris_semiflabellata,trnL-trnF,KM008015,559,Actiniopteris semiflabellata Pic. Serm.,Actiniopteris semiflabellata Pic.Serm.,1224206,FALSE
Actinostachys_confusa,rbcL,ON368154,1347,Actinostachys confusa (Selling) C. F. Reed,Schizaea confusa Selling,148573,FALSE
Actinostachys_digitata,plastome,ON207049,52540,Actinostachys digitata (L.) Wall. ex C. F. Reed,Actinostachys digitata (L.) Wall.,32179,FALSE
Actinostachys_laevigata,rbcL,ON368123,1325,Actinostachys laevigata (Mett.) C. F. Reed,Actinostachys laevigata (Mett.) C.F.Reed,148575,FALSE
Actinostachys_laevigata,rps4,DQ390583,603,Actinostachys laevigata (Mett.) C. F. Reed,Actinostachys laevigata (Mett.) C.F.Reed,148575,FALSE
Actinostachys_laevigata,rps4-trnS,DQ390583,100,Actinostachys laevigata (Mett.) C. F. Reed,Actinostachys laevigata (Mett.) C.F.Reed,148575,FALSE
Actinostachys_pennula,plastome,KU764518,49265,Actinostachys pennula (Sw.) Hook.,Actinostachys pennula (Sw.) Hook.,148577,FALSE
Actinostachys_subtrijuga,rbcL,AJ303400,1296,Actinostachys subtrijuga (Mart.) C. Presl,Actinostachys subtrijuga (Mart.) C.Presl,148581,FALSE
Acystopteris_japonica,plastome,MT130696,67616,Acystopteris japonica (Luerss.) Nakai,Acystopteris japonica (Luerss.) Nakai,86705,FALSE
Acystopteris_taiwaniana,matK,JX873972,1211,Acystopteris taiwaniana (Tagawa) Á. & D. Löve,Acystopteris taiwaniana (Tagawa) A.Love & D.Love,1033660,FALSE
Acystopteris_taiwaniana,rbcL,JF832052,1309,Acystopteris taiwaniana (Tagawa) Á. & D. Löve,Acystopteris taiwaniana (Tagawa) A.Love & D.Love,1033660,FALSE
Acystopteris_tenuisecta,plastome,MT130692,67598,Acystopteris tenuisecta (Blume) Tagawa,Acystopteris tenuisecta (Blume) Tagawa,872333,FALSE
Adenophorus_abietinus,atpB,AF469778,1266,Adenophorus abietinus (D. C. Eaton) K. A. Wilson,Adenophorus abietinus K.A.Wilson,185459,FALSE
Adenophorus_abietinus,rbcL,AF468202,1311,Adenophorus abietinus (D. C. Eaton) K. A. Wilson,Adenophorus abietinus K.A.Wilson,185459,FALSE
Adenophorus_abietinus,trnL-trnF,AF469791,282,Adenophorus abietinus (D. C. Eaton) K. A. Wilson,Adenophorus abietinus K.A.Wilson,185459,FALSE
Adenophorus_epigaeus,atpB,AF469779,1266,Adenophorus epigaeus (L. E. Bishop) W. H. Wagner,Adenophorus epigaeus (L.E.Bishop) W.H.Wagner,185460,FALSE
Adenophorus_epigaeus,rbcL,AF468203,1311,Adenophorus epigaeus (L. E. Bishop) W. H. Wagner,Adenophorus epigaeus (L.E.Bishop) W.H.Wagner,185460,FALSE
Adenophorus_epigaeus,trnL-trnF,AF469792,283,Adenophorus epigaeus (L. E. Bishop) W. H. Wagner,Adenophorus epigaeus (L.E.Bishop) W.H.Wagner,185460,FALSE
Adenophorus_haaliloanus,atpB,AF469775,1266,Adenophorus haaliloanus (Brack.) K.A.Wilson,Adenophorus haaliloanus (Brack.) K.A.Wilson,185461,FALSE
Adenophorus_haaliloanus,rbcL,AF468200,1311,Adenophorus haaliloanus (Brack.) K.A.Wilson,Adenophorus haaliloanus (Brack.) K.A.Wilson,185461,FALSE
Adenophorus_haaliloanus,trnL-trnF,AF469788,281,Adenophorus haaliloanus (Brack.) K.A.Wilson,Adenophorus haaliloanus (Brack.) K.A.Wilson,185461,FALSE
Adenophorus_hymenophylloides,atpB,AF469780,1266,Adenophorus hymenophylloides (Kaulf.) Hook. & Grev.,Adenophorus hymenophylloides Hook. & Grev.,185462,FALSE
Adenophorus_hymenophylloides,rbcL,AF468204,1311,Adenophorus hymenophylloides (Kaulf.) Hook. & Grev.,Adenophorus hymenophylloides Hook. & Grev.,185462,FALSE
Adenophorus_hymenophylloides,trnL-trnF,AF469793,279,Adenophorus hymenophylloides (Kaulf.) Hook. & Grev.,Adenophorus hymenophylloides Hook. & Grev.,185462,FALSE
Adenophorus_oahuensis,atpB,AF469776,1266,Adenophorus oahuensis (Copel.) L. E. Bishop,Adenophorus oahuensis L.E.Bishop,175343,FALSE
Adenophorus_oahuensis,rbcL,AY057382,1311,Adenophorus oahuensis (Copel.) L. E. Bishop,Adenophorus oahuensis L.E.Bishop,175343,FALSE
Adenophorus_oahuensis,trnL-trnF,AF469789,281,Adenophorus oahuensis (Copel.) L. E. Bishop,Adenophorus oahuensis L.E.Bishop,175343,FALSE
Adenophorus_periens,atpB,AF469774,1266,Adenophorus periens L. E. Bishop,Adenophorus periens L.E.Bishop,185464,FALSE
Adenophorus_periens,rbcL,AF468199,1311,Adenophorus periens L. E. Bishop,Adenophorus periens L.E.Bishop,185464,FALSE
Adenophorus_periens,trnL-trnF,AF469787,277,Adenophorus periens L. E. Bishop,Adenophorus periens L.E.Bishop,185464,FALSE
Adenophorus_sarmentosus,atpA,EF463798,1506,Adenophorus sarmentosus (Brack.) K. A. Wilson,Adenophorus pinnatifidus Gaudich.,185465,FALSE
Adenophorus_sarmentosus,atpB,AF469777,1266,Adenophorus sarmentosus (Brack.) K. A. Wilson,Adenophorus pinnatifidus Gaudich.,185465,FALSE
Adenophorus_sarmentosus,rbcL,AF468201,1311,Adenophorus sarmentosus (Brack.) K. A. Wilson,Adenophorus pinnatifidus Gaudich.,185465,FALSE
Adenophorus_sarmentosus,trnL-trnF,AF469790,283,Adenophorus sarmentosus (Brack.) K. A. Wilson,Adenophorus pinnatifidus Gaudich.,185465,FALSE
Adenophorus_tamariscinus,atpB,AF469781,1266,Adenophorus tamariscinus var. montanus (Hillebr.) Bishop,Adenophorus montanus (Hillebr.) W.H.Wagner,185463,FALSE
Adenophorus_tamariscinus,rbcL,AF468205,1311,Adenophorus tamariscinus var. montanus (Hillebr.) Bishop,Adenophorus montanus (Hillebr.) W.H.Wagner,185463,FALSE
Adenophorus_tamariscinus,trnL-trnF,AF469794,283,Adenophorus tamariscinus var. montanus (Hillebr.) Bishop,Adenophorus montanus (Hillebr.) W.H.Wagner,185463,FALSE
Adenophorus_tenellus,atpA,EF463820,1506,Adenophorus tenellus (Kaulf.) Ranker,Adenophorus tenellus (Kaulf.) Ranker,2853614,FALSE
Adenophorus_tenellus,atpB,AF469773,1266,Adenophorus tenellus (Kaulf.) Ranker,Adenophorus tenellus (Kaulf.) Ranker,2853614,FALSE
Adenophorus_tenellus,rbcL,AF468198,1311,Adenophorus tenellus (Kaulf.) Ranker,Adenophorus tenellus (Kaulf.) Ranker,2853614,FALSE
Adenophorus_tenellus,trnL-trnF,AF469786,280,Adenophorus tenellus (Kaulf.) Ranker,Adenophorus tenellus (Kaulf.) Ranker,2853614,FALSE
Adenophorus_tripinnatifidus,atpB,AF469783,1266,Adenophorus tripinnatifidus Gaudich.,Adenophorus tripinnatifidus Gaudich.,185467,FALSE
Adenophorus_tripinnatifidus,rbcL,AF468207,1311,Adenophorus tripinnatifidus Gaudich.,Adenophorus tripinnatifidus Gaudich.,185467,FALSE
Adenophorus_tripinnatifidus,trnL-trnF,AF469796,283,Adenophorus tripinnatifidus Gaudich.,Adenophorus tripinnatifidus Gaudich.,185467,FALSE
Adetogramma_chrysolepis,plastome,MW876307,67356,Adetogramma chrysolepis (Hook.) T. E. Almeida,Adetogramma chrysolepis (Hook.) T.E.Almeida,253783,FALSE
Adiantopsis_alata,atpA,KY020082,1758,Adiantopsis alata Prantl,Adiantopsis alata Prantl,2039606,FALSE
Adiantopsis_alata,rbcL,KY020078,1325,Adiantopsis alata Prantl,Adiantopsis alata Prantl,2039606,FALSE
Adiantopsis_aurea,atpA,KY020083,1758,"Adiantopsis aurea Link-Pérez, Seabolt & Ledford","Adiantopsis aurea Link-Perez, Ledford & Seabolt",2039607,FALSE
Adiantopsis_aurea,rbcL,KY020080,885,"Adiantopsis aurea Link-Pérez, Seabolt & Ledford","Adiantopsis aurea Link-Perez, Ledford & Seabolt",2039607,FALSE
Adiantopsis_australopedata,atpA,JN709792,1753,"Adiantopsis × australopedata Hickey, M. S. Barker & Ponce","Adiantopsis x australopedata Hickey, M.S.Barker & Ponce",1107920,FALSE
Adiantopsis_australopedata,rbcL,JN709746,1325,"Adiantopsis × australopedata Hickey, M. S. Barker & Ponce","Adiantopsis x australopedata Hickey, M.S.Barker & Ponce",1107920,FALSE
Adiantopsis_chlorophylla,atpA,JN709783,1753,Adiantopsis chlorophylla (Sw.) Fée,Adiantopsis chlorophylla (Sw.) Fee,434433,FALSE
Adiantopsis_chlorophylla,rbcL,JN709737,1325,Adiantopsis chlorophylla (Sw.) Fée,Adiantopsis chlorophylla (Sw.) Fee,434433,FALSE
Adiantopsis_dactylifera,atpA,JN709805,1758,Adiantopsis dactylifera Link-Pérez & Hickey,Adiantopsis dactylifera Link-Perez & Hickey,1107918,FALSE
Adiantopsis_dactylifera,rbcL,JN709759,1325,Adiantopsis dactylifera Link-Pérez & Hickey,Adiantopsis dactylifera Link-Perez & Hickey,1107918,FALSE
Adiantopsis_dichotoma,atpA,JN709774,1756,Adiantopsis dichotoma (Cav.) T. Moore,Adiantopsis dichotoma (Cav.) T.Moore,1107919,FALSE
Adiantopsis_dichotoma,rbcL,JN709728,1325,Adiantopsis dichotoma (Cav.) T. Moore,Adiantopsis dichotoma (Cav.) T.Moore,1107919,FALSE
Adiantopsis_flexuosa,atpA,JN709770,1770,Adiantopsis flexuosa (Kunze) Link-Pérez & Hickey,Adiantopsis flexuosa (Kunze) Link-Perez & Hickey,434443,FALSE
Adiantopsis_flexuosa,rbcL,JN709723,1325,Adiantopsis flexuosa (Kunze) Link-Pérez & Hickey,Adiantopsis flexuosa (Kunze) Link-Perez & Hickey,434443,FALSE
Adiantopsis_lindigii,atpA,JN709800,1753,Adiantopsis lindigii (Mett.) Prantl,Adiantopsis lindigii (Mett.) Prantl,1107893,FALSE
Adiantopsis_lindigii,rbcL,JN709754,507,Adiantopsis lindigii (Mett.) Prantl,Adiantopsis lindigii (Mett.) Prantl,1107893,FALSE
Adiantopsis_monticola,atpA,JN709775,1758,Adiantopsis monticola (Gardner) T. Moore,Adiantopsis monticola (Gardner) T.Moore,1107894,FALSE
Adiantopsis_monticola,rbcL,JN709729,1325,Adiantopsis monticola (Gardner) T. Moore,Adiantopsis monticola (Gardner) T.Moore,1107894,FALSE
Adiantopsis_orbignyana,rbcL,MG593080,537,Adiantopsis orbignyana (Mett. ex Kuhn) Ponce & Scataglini,Adiantopsis orbignyana (Kuhn) Ponce & Scataglini,2478359,FALSE
Adiantopsis_parvisegmenta,atpA,JN709796,1421,Adiantopsis parvisegmenta M. S. Barker & Hickey,Adiantopsis parvisegmenta M.S.Barker & Hickey,1107903,FALSE
Adiantopsis_parvisegmenta,rbcL,JN709750,1325,Adiantopsis parvisegmenta M. S. Barker & Hickey,Adiantopsis parvisegmenta M.S.Barker & Hickey,1107903,FALSE
Adiantopsis_paupercula,atpA,JN709811,1758,Adiantopsis paupercula (Kunze) Fée,Adiantopsis paupercula (Kunze) Fee,1107904,FALSE
Adiantopsis_paupercula,rbcL,JN709765,1325,Adiantopsis paupercula (Kunze) Fée,Adiantopsis paupercula (Kunze) Fee,1107904,FALSE
Adiantopsis_pedata,atpA,JN709794,1649,Adiantopsis pedata (Hook.) T. Moore,Adiantopsis pedata (Hook.) T.Moore,1107905,FALSE
Adiantopsis_pedata,rbcL,JN709748,1322,Adiantopsis pedata (Hook.) T. Moore,Adiantopsis pedata (Hook.) T.Moore,1107905,FALSE
Adiantopsis_pentagona,atpA,JN709795,1641,Adiantopsis pentagona M. S. Barker & Hickey,Adiantopsis pentagona M.S.Barker & Hickey,1107906,FALSE
Adiantopsis_pentagona,rbcL,JN709749,1318,Adiantopsis pentagona M. S. Barker & Hickey,Adiantopsis pentagona M.S.Barker & Hickey,1107906,FALSE
Adiantopsis_perfasciculata,atpA,JN709793,993,Adiantopsis perfasciculata Sehnem,Adiantopsis perfasciculata Sehnem,1107907,FALSE
Adiantopsis_perfasciculata,rbcL,JN709747,881,Adiantopsis perfasciculata Sehnem,Adiantopsis perfasciculata Sehnem,1107907,FALSE
Adiantopsis_propinqua,atpA,JN709815,713,Adiantopsis propinqua (Mett.) Prantl,Adiantopsis propinqua (Mett.) Prantl,1107908,FALSE
Adiantopsis_radiata,atpA,EU268718,1688,Adiantopsis radiata (L.) Fée,Adiantopsis radiata (L.) Fee,434434,FALSE
Adiantopsis_radiata,atpB,EF452010,1278,Adiantopsis radiata (L.) Fée,Adiantopsis radiata (L.) Fee,434434,FALSE
Adiantopsis_radiata,rbcL,EF452131,1308,Adiantopsis radiata (L.) Fée,Adiantopsis radiata (L.) Fee,434434,FALSE
Adiantopsis_reesii,atpA,JN709801,736,Adiantopsis reesii (Jenman) C. Chr.,Adiantopsis reesii (Jenman) C.Chr.,1107909,FALSE
Adiantopsis_reesii,rbcL,JN709755,1322,Adiantopsis reesii (Jenman) C. Chr.,Adiantopsis reesii (Jenman) C.Chr.,1107909,FALSE
Adiantopsis_regularis,atpA,JN709772,1770,Adiantopsis regularis (Mett.) T. Moore,Adiantopsis regularis (Kunze) T.Moore,1107910,FALSE
Adiantopsis_regularis,rbcL,JN709726,1325,Adiantopsis regularis (Mett.) T. Moore,Adiantopsis regularis (Kunze) T.Moore,1107910,FALSE
Adiantopsis_rupicola,atpA,JN709799,1750,Adiantopsis rupicola Maxon,Adiantopsis rupicola Maxon,1107911,FALSE
Adiantopsis_rupicola,rbcL,JN709753,1325,Adiantopsis rupicola Maxon,Adiantopsis rupicola Maxon,1107911,FALSE
Adiantopsis_seemannii,atpA,MK632492,1758,Adiantopsis seemannii (Hook.) Maxon,Adiantopsis seemannii (Hook.) Maxon,1107912,FALSE
Adiantopsis_seemannii,rbcL,JN709731,1325,Adiantopsis seemannii (Hook.) Maxon,Adiantopsis seemannii (Hook.) Maxon,1107912,FALSE
Adiantopsis_senae,atpA,KF800705,1770,Adiantopsis senae (Baker) Schuettp. & A. Davila,Adiantopsis senae (Baker) Schuettp. & A.Davila,1520886,FALSE
Adiantopsis_senae,rbcL,KF800703,1309,Adiantopsis senae (Baker) Schuettp. & A. Davila,Adiantopsis senae (Baker) Schuettp. & A.Davila,1520886,FALSE
Adiantopsis_ternata,atpA,JN709802,1758,Adiantopsis ternata Prantl,Adiantopsis ternata Prantl,1107913,FALSE
Adiantopsis_ternata,rbcL,JN709756,1325,Adiantopsis ternata Prantl,Adiantopsis ternata Prantl,1107913,FALSE
Adiantopsis_timida,atpA,JN709803,1758,Adiantopsis timida Link-Pérez & Hickey,Adiantopsis timida Link-Perez & Hickey,1107914,FALSE
Adiantopsis_timida,rbcL,JN709757,1325,Adiantopsis timida Link-Pérez & Hickey,Adiantopsis timida Link-Perez & Hickey,1107914,FALSE
Adiantopsis_trifurcata,atpA,JN709813,1758,Adiantopsis trifurcata (Baker) Link-Pérez & Hickey,Adiantopsis trifurcata (Baker) M.A.Link-Perez & Hickey,1107915,FALSE
Adiantopsis_trifurcata,rbcL,JN709768,1325,Adiantopsis trifurcata (Baker) Link-Pérez & Hickey,Adiantopsis trifurcata (Baker) M.A.Link-Perez & Hickey,1107915,FALSE
Adiantopsis_tweediana,atpA,JN709771,1752,Adiantopsis tweediana (Hook.) Link-Pérez & Hickey,Adiantopsis tweediana (Hook.) Link-Perez & Hickey,1107917,FALSE
Adiantopsis_tweediana,rbcL,JN709725,1325,Adiantopsis tweediana (Hook.) Link-Pérez & Hickey,Adiantopsis tweediana (Hook.) Link-Perez & Hickey,1107917,FALSE
Adiantopsis_tweediana,rps4,MW245820,571,Adiantopsis tweediana (Hook.) Link-Pérez & Hickey,Adiantopsis tweediana (Hook.) Link-Perez & Hickey,1107917,FALSE
Adiantopsis_tweediana,rps4-trnS,MW245820,443,Adiantopsis tweediana (Hook.) Link-Pérez & Hickey,Adiantopsis tweediana (Hook.) Link-Perez & Hickey,1107917,FALSE
Adiantopsis_vincentii,atpA,JN709797,1753,Adiantopsis vincentii M. S. Barker & Hickey,Adiantopsis vincentii M.S.Barker & Hickey,1107916,FALSE
Adiantopsis_vincentii,rbcL,JN709751,1325,Adiantopsis vincentii M. S. Barker & Hickey,Adiantopsis vincentii M.S.Barker & Hickey,1107916,FALSE
Adiantum_abscissum,atpA,MH019315,1506,Adiantum abscissum Schrad.,Adiantum abscissum Schrad.,2420084,FALSE
Adiantum_abscissum,rbcL,MH019532,1309,Adiantum abscissum Schrad.,Adiantum abscissum Schrad.,2420084,FALSE
Adiantum_adiantoides,atpA,MH019316,1506,Adiantum adiantoides (J. Sm.) C. Chr.,Adiantum adiantoides (J.Sm.) C.Chr.,1481294,FALSE
Adiantum_adiantoides,atpB,KJ716377,1146,Adiantum adiantoides (J. Sm.) C. Chr.,Adiantum adiantoides (J.Sm.) C.Chr.,1481294,FALSE
Adiantum_adiantoides,rbcL,MH019533,1309,Adiantum adiantoides (J. Sm.) C. Chr.,Adiantum adiantoides (J.Sm.) C.Chr.,1481294,FALSE
Adiantum_aethiopicum,atpA,KC984436,1778,Adiantum aethiopicum L.,Adiantum aethiopicum L.,450919,FALSE
Adiantum_aethiopicum,atpB,KC984441,1272,Adiantum aethiopicum L.,Adiantum aethiopicum L.,450919,FALSE
Adiantum_aethiopicum,rbcL,KC984519,1309,Adiantum aethiopicum L.,Adiantum aethiopicum L.,450919,FALSE
Adiantum_aethiopicum,rps4,JF980616,571,Adiantum aethiopicum L.,Adiantum aethiopicum L.,450919,FALSE
Adiantum_aethiopicum,rps4-trnS,JF980616,435,Adiantum aethiopicum L.,Adiantum aethiopicum L.,450919,FALSE
Adiantum_aethiopicum,trnL-trnF,JF980695,902,Adiantum aethiopicum L.,Adiantum aethiopicum L.,450919,FALSE
Adiantum_alan-smithii,atpA,KX524416,684,"Adiantum alan-smithii R. Y. Hirai, Sundue & J. Prado","Adiantum alan-smithii R.Y.Hirai, Sundue & J.Prado",1932672,FALSE
Adiantum_alan-smithii,rbcL,KX524212,607,"Adiantum alan-smithii R. Y. Hirai, Sundue & J. Prado","Adiantum alan-smithii R.Y.Hirai, Sundue & J.Prado",1932672,FALSE
Adiantum_alarconianum,atpA,MH019317,1484,Adiantum alarconianum Gaudich.,Adiantum alarconianum Gaudich.,2420085,FALSE
Adiantum_alarconianum,rbcL,MH019534,1292,Adiantum alarconianum Gaudich.,Adiantum alarconianum Gaudich.,2420085,FALSE
Adiantum_aleuticum,plastome,MH173079,67413,Adiantum aleuticum (Rupr.) C. A. Paris,Adiantum aleuticum (Rupr.) C.A.Paris,412743,FALSE
Adiantum_alomae,trnL-trnF,KY934375,822,Adiantum alomae Caluff,Adiantum alomae Caluff,1979433,FALSE
Adiantum_amplum,atpA,JF937311,1747,Adiantum amplum C. Presl,Adiantum princeps T.Moore,1073794,FALSE
Adiantum_amplum,atpB,JF935438,1265,Adiantum amplum C. Presl,Adiantum princeps T.Moore,1073794,FALSE
Adiantum_amplum,rbcL,JF935356,1262,Adiantum amplum C. Presl,Adiantum princeps T.Moore,1073794,FALSE
Adiantum_amplum,rps4,JF980622,571,Adiantum amplum C. Presl,Adiantum princeps T.Moore,1073794,FALSE
Adiantum_amplum,rps4-trnS,JF980622,518,Adiantum amplum C. Presl,Adiantum princeps T.Moore,1073794,FALSE
Adiantum_amplum,trnL-trnF,JF980701,898,Adiantum amplum C. Presl,Adiantum princeps T.Moore,1073794,FALSE
Adiantum_anceps,atpA,MH019320,1506,Adiantum anceps Maxon & Morton,Adiantum anceps Maxon & C.V.Morton,2420087,FALSE
